GSP_name,SCORE_minusengagement_summed,SCORE_minusengagement_summed_minusproj,PROJECTS_SCORE,Projects_DW,SCORE_minusengagement_Averagesubscore,SCORE_factor,QualityMT,perc_1975,percfail,MCLs_used,Number_MTsset_ofseven,percwsf,Outreachandinvolvement,Ceplan,Incorporating_comments,Translation,count1975,count_domwells,count_pswells,count_hhsd_all,avgpl_1975,Avg_TCD_dom,AllWells,Avg_TCD_ps,count_pws,WaterSys,Count_DACwithND_2016,Count_DACwithND_2018,Number_GSA_authors_unique,Number_GSPs_inbasin,Number_agencies_ingovagreements_total,IsthereacollabGSAauthor,per_collab,board_perc_DAC,DAC_per_DACseat,board_perc_DW,PWS_per_DWseat,board_per_women,board_perPOC,Committee_perc,Committee_any,Committee_DAC_any,Committee_DW_perc,County_ag_profits_2019,Perc_irrigated_Darcy,GSP_area_acres_me,Summed_EJ_Engagement,CWC,SHE,LCJA,Facilitation_orcoordinationsupport_recieved,Facilitation_received_dierct,Count_letters,Quality_outcomecombined,Prop1Cat1_project,Prop1Cat1_TA,Prop1,Combined_risk_percentil,COB
Mid-Kaweah,70.58823529,73.07692308,100,2,61.19047619,NA,3,0.841995841995842,77.64705882,2,6,100,1,2,2,0,481,464,243,99,125.1531501,257.5852018,85,355.6363636,10,4,3,3,1,3,3,2,100,33.33333333333333,66.66666666666666,66.66666666666666,40,0,33.33333333333333,100,2,2,100,7508852000,47.90836254,104119.413,4,0,3,1,1,0,10,12,0,1,1,77.31,2
Greater Kaweah,70.58823529,69.23076923,100,2,64.4047619,NA,3,0.841648590021692,70.68965517,2,6,82.35294118,2,2,2,1,1383,1370,183,234,104.083508,232.0248494,58,206.1538462,15,17,9,8,1,3,6,2,100,11.11111111111111,11.11111111111111,22.22222222222222,13.333333333333334,0,11.11111111111111,100,2,2,100,7508852000,60.166141090000004,219714.0472,6,0,3,3,1,0,4,12,0,1,1,78.5,2
East Kaweah,58.82352941,73.07692308,0,0,51.19047619,NA,2,0.8208333333333333,64.28571429,1,6,85.71428571,2,2,2,2,480,587,68,177,100.5872911,217.9039146,14,231.7692308,8,7,7,7,1,3,7,2,100,9.090909090909092,14.285714285714285,9.090909090909092,12.5,9.090909090909092,9.090909090909092,100,2,2,100,7508852000,65.09437459,117276.7964,8,2,3,3,1,0,5,6,0,1,1,77.03,2
Tulare Lake,23.52941176,30.76923077,0,0,23.45238095,NA,0,0.6436077057793345,22.22222222,0,0,87.5,1,2,2,1,1142,1162,179,66,156.7220992,232.2808399,45,419.8076923,11,8,6,6,5,1,26,2,100,7.6923076923076925,33.33333333333333,11.538461538461538,27.27272727272727,0,11.538461538461538,20,2,1,0,2187693000,45.29832148,535457.7761,0,0,0,0,0,0,1,0,0,0,0,31.25,2
Eastern Tule,29.41176471,34.61538462,0,0,32.5,NA,1,0.8264984227129337,80.39215686,0,3,80,1,2,2,2,634,690,202,641,94.37236095,215.3663623,51,598.6666667,20,10,6,6,1,6,8,2,100,11.11111111111111,16.666666666666664,11.11111111111111,5,0,11.11111111111111,100,2,2,100,7508852000,47.27793264,160861.3524,4,3,1,0,0,0,3,0,0,1,1,45.45,2
Delano-Earlimart Irrigation District,35.29411765,30.76923077,100,2,39.76190476,NA,1,0.8235294117647058,62.5,0,2,100,1,2,2,1,34,35,36,2,203.8325592,436.59375,16,511.6666667,6,5,3,3,1,6,1,1,0,0,0,0,0,0,0,100,2,2,100,7508852000,79.07833896,64785.70737,0,0,0,0,0,0,0,0,0,0,0,60.11,2
Tri-County Water Agency,32.35294118,42.30769231,0,0,26.54761905,NA,0,0.6666666666666666,60,0,0,50,0,0,2,0,6,7,6,0,233.9898486,425.7142857,5,741.25,1,2,1,1,1,6,4,2,100,0,0,0,0,0,20,100,2,1,0,7508852000,26.92027811,61743.69981,0,0,0,0,0,0,1,0,0,0,0,27.39,2
Lower Tule River,23.52941176,26.92307692,0,0,20.11904762,NA,1,0.877906976744186,76.47058824,0,2,71.42857143,0,2,0,0,172,192,59,15,148.3128335,307.4175824,17,363.5833333,7,7,3,3,1,6,1,1,0,0,0,0,0,0,20,100,2,1,0,7508852000,64.46708988,105492.3022,2,2,0,0,0,0,3,0,0,1,1,64.15,2
Pixley Irrigation District,20.58823529,26.92307692,0,0,14.76190476,NA,1,0.9416666666666667,100,0,2,100,0,2,0,0,120,108,23,20,174.4682003,375.0571429,7,463.3333333,3,4,2,2,1,6,1,1,0,0,0,0,0,0,20,100,2,1,0,7508852000,57.62841283,69886.75447,2,2,0,0,0,0,1,0,0,1,1,56.63,2
Alpaugh,23.52941176,26.92307692,0,0,20.11904762,NA,0,0,0,0,0,0,0,0,2,0,3,3,8,0,404.9638612,774.3333333,5,1408.5,1,2,1,1,1,6,3,2,100,40,200,40,200,20,20,0,1,1,0,7508852000,21.54889136,14360.76482,0,0,0,0,0,0,1,0,0,1,1,9.96,2
Kern River,79.41176471,73.07692308,100,2,80.71428571,NA,0,0.5533707865168539,36.25730994,0,0,57.14285714,2,2,2,2,356,378,478,3,239.9139563,484.946087,171,687.5625,32,14,5,5,2,5,6,2,50,62.5,100,75,18.75,0,25,0,1,1,0,7692667000,33.7380382,230390.139,3,0,1,2,0,0,1,0,0,1,1,70.91,2
Kern Groundwater Authoriy,41.17647059,38.46153846,100,2,46.78571429,NA,0,0.6355785837651122,52.52525253,0,0,69.23076923,2,2,2,2,579,686,407,15,280.8280338,541.3664957,99,706.6666667,66,26,20,19,6,5,22,2,16.666666666666664,15.555555555555555,35,15.555555555555555,10.606060606060606,6.666666666666667,15.555555555555555,0,1,1,0,7692667000,34.47363334,1471655.715,2,2,0,0,1,1,5,0,0,1,1,48.26,2
Buena Vista,55.88235294,61.53846154,0,0,43.80952381,NA,0,0.391304347826087,20,0,0,50,0,2,0,0,23,21,11,0,213.339042,417.6111111,5,491,2,2,1,1,1,5,1,1,0,0,0,0,0,0,0,0,1,1,0,7692667000,63.40708076,51046.67877,0,0,0,0,0,0,0,0,0,0,0,64.23,2
Olcese Water District,32.14285714,36.36363636,0,0,33.21428571,NA,0,NA,0,0,0,0,2,2,1,0,0,2,1,0,0,1250,0,NA,1,0,0,0,1,5,1,1,0,NA,NA,0,0,0,0,0,1,NA,0,7692667000,30.17884634,3206.174977,0,0,0,0,0,0,0,0,0,0,0,4.22,2
Henry Miller Water District,15.38461538,20,0,0,11.30952381,NA,0,1,100,0,0,100,0,0,0,0,4,4,2,0,221.9219681,434,1,NA,0,1,0,0,1,5,1,1,0,NA,NA,0,NA,0,0,0,1,NA,0,7692667000,32.44279161,26055.23406,0,0,0,0,0,0,0,0,0,0,0,52.26,2
Indian Wells Valley,76.47058824,76.92307692,100,2,72.02380952,NA,0,NA,NA,0,0,NA,1,2,2,0,NA,882,127,2,NA,346.4206816,NA,432.8095238,11,NA,1,2,1,1,5,2,100,0,0,40,18.181818181818183,0,0,100,2,2,100,7692667000,0.554530386,381709.4525,0,0,0,0,1,1,1,0,1,0,1,14.9,2
